date;brazil_gdp
01.07.2017;293413.0
01.10.2017;294936.7
01.01.2018;296297.3
01.04.2018;296372.6
01.07.2018;299196.4
01.10.2018;298243.2
01.01.2019;299065.7
01.04.2019;301140.9
01.07.2019;301179.6
01.10.2019;303216.3
01.01.2020;296349.7
01.04.2020;270773.2
01.07.2020;292269.3
01.10.2020;302228.7
01.01.2021;304818.3
01.04.2021;304244.4
01.07.2021;305503.4
01.10.2021;308978.9
01.01.2022;311913.8
01.04.2022;315147.2
01.07.2022;316560.9
01.10.2022;316848.0
01.01.2023;322635.4
01.04.2023;325566.6