date;brazil_resources
30.06.2023;-18412,989
31.03.2023;59766,43
31.12.2022;-103661,048
30.09.2022;-9199,882
30.06.2022;-2810,673
31.03.2022;48324,823
31.12.2021;-77883,74
30.09.2021;-20684,375
30.06.2021;-6408,24
31.03.2021;152052,768
31.12.2020;-69700,908
30.09.2020;-5057,138
30.06.2020;-7705,799
31.03.2020;48585,847
31.12.2019;-38320,184
30.09.2019;20720,093
30.06.2019;1445,927
31.03.2019;19525,165
31.12.2018;-52974,283
30.09.2018;3501,351
30.06.2018;17141,248
31.03.2018;32200,683
31.12.2017;-27192,346