date;norsk_hydro_price;norsk_hydro_adj;norsk_hydro_volume
02.01.2018;63.400002;47.684685;4639365
03.01.2018;62.860001;46.437428;7270513
04.01.2018;61.599998;46.498272;5235602
05.01.2018;61.459999;46.026749;4576207
08.01.2018;60.919998;46.133224;3511169
09.01.2018;60.939999;47.045845;7175602
10.01.2018;61.860001;47.243580;4525685
11.01.2018;62.200001;47.319633;4434394
12.01.2018;62.560001;46.954586;4604575
15.01.2018;62.200001;47.380478;3098072
16.01.2018;61.779999;46.133224;4270691
17.01.2018;60.160000;46.346165;5915917
18.01.2018;59.860001;45.448753;5334025
19.01.2018;59.759998;46.239689;5354583
22.01.2018;60.939999;46.270115;3564492
23.01.2018;60.900002;44.855549;5354117
24.01.2018;58.820000;44.277546;6084395
25.01.2018;58.240002;43.729973;6092720
26.01.2018;57.400002;43.669132;5089715
29.01.2018;57.820000;43.942921;4389758
30.01.2018;57.099998;42.634823;6223998
31.01.2018;56.500000;42.741299;7038387
01.02.2018;56.380001;43.273663;4492116
02.02.2018;57.000000;42.132881;4057626
05.02.2018;55.200001;43.319294;5781028
06.02.2018;54.500000;42.452301;6379202
07.02.2018;56.980000;42.132881;5858148
08.02.2018;55.000000;41.600513;5973921
09.02.2018;54.000000;41.691776;5526651
12.02.2018;55.200001;42.345821;4879815
13.02.2018;55.720001;42.345821;5511438
14.02.2018;55.799999;42.847767;4596743
15.02.2018;56.880001;43.106346;5341848
16.02.2018;58.799999;43.836449;6669991
19.02.2018;57.660000;42.589191;5079233
20.02.2018;56.299999;42.786926;4342436
21.02.2018;56.099998;42.497929;5132970
22.02.2018;55.340000;42.771721;6225206
23.02.2018;56.400002;42.710876;3595620
26.02.2018;56.240002;42.619614;4323855
27.02.2018;54.680000;41.448406;9333385
28.02.2018;54.000000;40.794361;6468433
01.03.2018;53.000000;40.049049;7004514
02.03.2018;52.099998;39.683998;7788704
05.03.2018;52.160000;39.364582;6274145
06.03.2018;52.480000;40.185947;7174420
07.03.2018;52.200001;39.349373;5405584
08.03.2018;51.580002;39.121212;5976812
09.03.2018;51.279999;39.592739;5646131
12.03.2018;51.500000;38.969116;5876079
13.03.2018;50.160000;38.102119;5924439
14.03.2018;50.299999;37.805511;5453091
15.03.2018;49.709999;37.204700;6232328
16.03.2018;48.500000;36.900497;9627606
19.03.2018;48.000000;36.041100;6399732
20.03.2018;47.209999;35.752102;5763098
21.03.2018;46.759998;35.797741;10778964
22.03.2018;47.049999;35.060028;9612621
23.03.2018;45.750000;35.577183;9925246
26.03.2018;46.779999;35.128475;6278704
27.03.2018;47.090000;35.379448;5569326
28.03.2018;46.259998;34.945953;5552564
03.04.2018;46.020000;35.523949;10294087
04.04.2018;47.000000;34.961159;9665939
05.04.2018;46.939999;35.858578;5742906
06.04.2018;46.680000;34.679768;6262721
09.04.2018;46.709999;36.976540;15473730
10.04.2018;49.320000;36.839653;11544445
11.04.2018;48.419998;37.539330;9389931
12.04.2018;49.860001;38.299854;8307639
13.04.2018;50.980000;39.136425;8206199
16.04.2018;51.880001;39.729633;7738876
17.04.2018;52.500000;39.318954;10217645
18.04.2018;52.639999;41.068153;12007768
19.04.2018;56.400002;40.703098;11992452
20.04.2018;53.660000;40.490154;6316816
23.04.2018;53.660000;38.573639;12326379
24.04.2018;50.700001;38.467167;9959339
25.04.2018;50.639999;38.908272;7843603
26.04.2018;51.119999;39.197273;11509881
27.04.2018;51.580002;38.406326;4642932
30.04.2018;50.500000;38.071697;5995678
02.05.2018;50.180000;38.588848;6771971
03.05.2018;50.799999;38.284641;4318792
04.05.2018;50.560001;38.664902;5636388
07.05.2018;50.000000;38.071697;6876973
08.05.2018;48.849998;38.347519;5760758
09.05.2018;48.549999;38.331760;6739667
11.05.2018;48.880001;38.134743;5783919
14.05.2018;48.369999;37.646137;6630482
15.05.2018;47.590000;37.693424;5492208
16.05.2018;47.930000;40.617165;10931783
18.05.2018;51.799999;40.428028;7920180
22.05.2018;50.900002;40.743256;6434002
23.05.2018;51.279999;39.797573;5717238
24.05.2018;50.500000;39.206520;3873924
25.05.2018;49.990002;38.938576;3713542
28.05.2018;49.540001;39.498104;2665389
29.05.2018;51.000000;40.743256;9598045
30.05.2018;51.320000;40.664448;5739602
31.05.2018;52.000000;40.459549;8495259
01.06.2018;51.279999;40.963917;3783955
04.06.2018;52.279999;40.979683;3600900
05.06.2018;52.000000;41.688946;4938676
06.06.2018;53.119999;42.098740;4142244
07.06.2018;53.639999;42.256355;5494946
08.06.2018;53.880001;42.335163;6385144
11.06.2018;54.119999;42.776474;5862386
12.06.2018;53.000000;42.019924;8079426
13.06.2018;53.320000;42.240593;4764957
14.06.2018;53.000000;41.846554;5429708
15.06.2018;53.080002;42.634628;10725480
18.06.2018;53.720001;41.878078;4792222
19.06.2018;52.299999;41.121525;4890346
20.06.2018;52.200001;41.279144;4559647
21.06.2018;52.720001;40.617165;3759661
22.06.2018;51.439999;40.317696;3946978
25.06.2018;51.180000;39.419296;3429121
26.06.2018;50.000000;38.836121;4582028
27.06.2018;49.400002;39.269566;4477633
28.06.2018;49.610001;38.426331;4307879
29.06.2018;49.259998;38.449966;7144809
02.07.2018;48.500000;37.921959;4358260
03.07.2018;48.160000;38.071693;5198210
04.07.2018;48.060001;37.527927;2438059
05.07.2018;47.570000;37.890442;4386116
06.07.2018;48.040001;37.149651;4214449
09.07.2018;47.540001;37.764347;2555231
10.07.2018;48.169998;37.866795;2967122
11.07.2018;47.509998;36.881706;4444308
12.07.2018;47.000000;37.110249;3404463
13.07.2018;47.189999;36.865948;2970402
16.07.2018;47.299999;36.889591;3511189
17.07.2018;47.180000;37.985012;4790676
18.07.2018;47.200001;37.291508;4296767
19.07.2018;47.299999;36.787140;4406730
20.07.2018;46.400002;35.778412;6429611
23.07.2018;45.500000;36.038471;3972542
24.07.2018;46.000000;37.275749;7424744
25.07.2018;46.990002;36.771378;8071494
26.07.2018;46.990002;36.802902;3624382
27.07.2018;46.790001;37.039326;3772681
30.07.2018;46.700001;36.716213;3769208
31.07.2018;46.590000;36.645287;5732620
01.08.2018;46.419998;36.062111;6052077
02.08.2018;45.560001;35.565632;7214024
03.08.2018;45.389999;36.298538;5347535
06.08.2018;46.849998;36.235493;4367578
07.08.2018;46.470001;37.283627;5094323
08.08.2018;47.330002;37.149651;3831026
09.08.2018;48.000000;38.363285;6677165
10.08.2018;48.290001;36.992039;6183739
13.08.2018;46.799999;36.944756;3125720
14.08.2018;46.900002;36.944756;5562541
15.08.2018;46.889999;35.691723;5626218
16.08.2018;45.939999;36.148804;3854127
17.08.2018;45.880001;35.210999;6814008
20.08.2018;45.090000;36.093636;4533237
21.08.2018;45.860001;36.172447;3232430
22.08.2018;45.900002;36.613766;5538059
23.08.2018;46.360001;36.582245;3558026
24.08.2018;46.439999;36.889591;3380225
27.08.2018;47.000000;37.165417;3176821
28.08.2018;47.400002;37.622494;5055447
29.08.2018;47.750000;37.480644;3168170
30.08.2018;47.560001;36.818665;4531744
31.08.2018;46.500000;36.495556;7165729
03.09.2018;46.250000;36.267014;3720373
04.09.2018;46.000000;36.046360;4036318
05.09.2018;45.500000;36.085762;5584423
06.09.2018;47.700001;37.126015;13052469
07.09.2018;47.000000;36.385220;10549798
10.09.2018;46.750000;37.315144;9983177
11.09.2018;47.430000;37.023563;9712286
12.09.2018;47.099998;35.920265;8656068
13.09.2018;45.750000;35.376499;8594857
14.09.2018;45.230000;35.762646;6461103
17.09.2018;45.299999;35.675961;4496190
18.09.2018;46.040001;36.322178;10480602
19.09.2018;46.400002;37.118126;7693487
20.09.2018;47.240002;37.985012;10093339
21.09.2018;48.660000;38.300236;8286779
24.09.2018;48.240002;38.300236;6377854
25.09.2018;49.270000;39.096191;9906262
26.09.2018;50.000000;38.686394;4311466
27.09.2018;49.040001;38.260830;4065385
28.09.2018;48.529999;38.505131;5837855
01.10.2018;49.040001;38.292358;5738067
02.10.2018;48.529999;38.780960;5244309
03.10.2018;49.500000;34.186512;29656434
04.10.2018;40.720001;33.169899;18298210
05.10.2018;42.779999;34.541142;16495566
08.10.2018;46.770000;35.888741;15931492
09.10.2018;46.480000;35.226761;11028252
10.10.2018;44.959999;34.328365;7295706
11.10.2018;42.220001;33.619099;10538561
12.10.2018;43.000000;33.768829;6974195
15.10.2018;42.900002;33.642735;5391650
16.10.2018;42.549999;33.603336;7483812
17.10.2018;42.680000;33.934326;7373785
18.10.2018;43.000000;32.988640;7746521
19.10.2018;42.189999;33.264462;6377485
22.10.2018;42.830002;33.319626;4822461
23.10.2018;41.869999;32.169044;8701105
24.10.2018;42.299999;32.216331;8478339
25.10.2018;40.000000;32.381828;8406574
26.10.2018;41.230000;33.075329;11541278
29.10.2018;42.330002;32.988640;6179952
31.10.2018;42.799999;34.485973;9585305
01.11.2018;43.630001;35.210995;6161041
02.11.2018;45.419998;35.762650;8579275
05.11.2018;45.290001;35.557751;4524200
06.11.2018;45.209999;35.037624;4846592
07.11.2018;44.439999;35.045506;3163700
08.11.2018;44.029999;34.359882;7059025
09.11.2018;43.200001;33.398441;6144771
12.11.2018;42.830002;33.626972;4143988
13.11.2018;42.720001;33.098972;5465892
14.11.2018;41.900002;33.091091;6177818
15.11.2018;42.299999;33.193535;4697526
16.11.2018;42.500000;33.690022;5891133
19.11.2018;43.000000;33.075325;7468197
20.11.2018;41.500000;32.570961;6036314
21.11.2018;41.700001;33.193535;5076532
22.11.2018;42.209999;32.988644;2660256
23.11.2018;41.830002;32.350304;3678330
26.11.2018;41.270000;32.933475;3501791
27.11.2018;41.740002;32.429111;4078476
28.11.2018;41.209999;32.626125;3999586
29.11.2018;41.500000;32.271492;7456078
30.11.2018;40.770000;31.916857;6218887
03.12.2018;42.000000;32.917717;7501256
04.12.2018;41.680000;32.641888;4879062
05.12.2018;40.840000;32.310898;2705807
06.12.2018;40.529999;31.136671;6780262
07.12.2018;39.610001;31.633158;6059594
10.12.2018;39.400002;30.750519;5518647
11.12.2018;39.200001;31.570114;5677017
12.12.2018;40.000000;31.775011;4905531
13.12.2018;40.000000;32.153286;6416098
14.12.2018;40.310001;31.451904;3908972
17.12.2018;39.939999;31.373096;3599144
18.12.2018;39.500000;31.593758;5509900
19.12.2018;40.090000;31.956266;5991865
20.12.2018;39.700001;30.931774;8000332
21.12.2018;39.000000;31.160316;8977891
27.12.2018;39.580002;30.490456;4050455
28.12.2018;39.070000;30.900253;4062902
02.01.2019;39.200001;30.301321;4701068
03.01.2019;38.330002;30.167343;6195709
04.01.2019;38.680000;30.498337;7902990
07.01.2019;39.200001;31.380976;4701867
08.01.2019;39.779999;31.916857;5280107
09.01.2019;40.889999;32.082363;4520892
10.01.2019;40.700001;32.082363;4889318
11.01.2019;41.000000;31.696205;4602251
14.01.2019;39.980000;31.365213;4472917
15.01.2019;40.470001;31.113031;6750130
16.01.2019;41.369999;32.744339;12966533
17.01.2019;41.599998;32.121761;5643381
18.01.2019;39.740002;32.035076;9156155
21.01.2019;40.540001;31.664684;3674912
22.01.2019;39.810001;31.049984;6300528
23.01.2019;39.400002;30.955416;3723833
24.01.2019;39.080002;30.797812;4642784
25.01.2019;38.880001;31.247007;3967933
28.01.2019;38.459999;29.899401;6831024
29.01.2019;37.599998;29.765430;4612709
30.01.2019;37.799999;30.388008;5159734
31.01.2019;38.830002;30.671711;5899736
01.02.2019;39.389999;30.860849;3162179
04.02.2019;39.250000;30.671711;4262586
05.02.2019;39.200001;30.892374;5148821
06.02.2019;39.240002;30.246157;6644767
07.02.2019;36.000000;28.559685;23885059
08.02.2019;35.750000;26.944138;10387869
11.02.2019;34.500000;26.991421;5316569
12.02.2019;34.549999;26.715601;5471560
13.02.2019;34.000000;27.495785;5820178
14.02.2019;34.919998;26.904734;6010301
15.02.2019;33.950001;27.330294;7379490
18.02.2019;34.770000;27.259367;4023260
19.02.2019;34.509998;27.267246;2967753
20.02.2019;34.599998;27.464264;4344831
21.02.2019;35.000000;27.472145;4911577
22.02.2019;34.950001;27.732208;4750351
25.02.2019;35.500000;28.386307;5779408
26.02.2019;35.990002;28.480877;4719110
27.02.2019;36.099998;28.354782;6681605
28.02.2019;35.900002;27.929224;5257180
01.03.2019;35.439999;27.519430;5186209
04.03.2019;35.110001;27.480026;9888540
05.03.2019;34.900002;27.535194;4184899
06.03.2019;34.799999;27.472145;4902497
07.03.2019;34.980000;27.267246;6361804
08.03.2019;34.400002;26.502821;7060226
11.03.2019;33.900002;26.368845;6433401
12.03.2019;33.700001;26.518579;6922051
13.03.2019;33.750000;27.204199;7641330
14.03.2019;34.720001;27.290890;8174884
15.03.2019;34.740002;27.684925;7804305
18.03.2019;35.310001;28.236572;5339005
19.03.2019;35.000000;28.039557;10595623
20.03.2019;35.200001;28.433594;6326861
21.03.2019;36.250000;28.449348;4869855
22.03.2019;36.259998;27.503668;4197601
25.03.2019;34.599998;27.212080;4905299
26.03.2019;34.660000;26.755001;4213897
27.03.2019;35.000000;27.574593;6773377
28.03.2019;35.090000;27.606119;7129147
29.03.2019;35.349998;27.543072;5676807
01.04.2019;35.459999;28.378424;6134345
02.04.2019;36.240002;29.071926;7157905
03.04.2019;37.599998;29.040405;6971412
04.04.2019;36.910000;28.922194;5185174
05.04.2019;36.709999;29.371399;4128403
08.04.2019;37.709999;29.607817;5545311
09.04.2019;37.689999;29.064045;5105770
10.04.2019;37.009998;29.426558;4859601
11.04.2019;37.540001;29.253187;3986195
12.04.2019;37.200001;29.434443;4652286
15.04.2019;38.500000;30.411652;9040266
16.04.2019;39.000000;30.514101;6621277
17.04.2019;38.720001;30.514101;0
23.04.2019;39.419998;30.805683;6130352
24.04.2019;39.040001;30.246157;5164693
25.04.2019;38.500000;30.230394;4175091
26.04.2019;38.400002;30.269796;3836606
29.04.2019;38.639999;30.025492;3599860
30.04.2019;37.900002;29.127092;5404120
02.05.2019;36.820000;28.252333;8025899
03.05.2019;35.849998;28.496635;3474193
06.05.2019;35.139999;27.795254;4038667
07.05.2019;35.520000;27.369694;5209207
08.05.2019;33.779999;27.157148;6990910
09.05.2019;33.500000;26.584902;7459827
10.05.2019;32.959999;27.026350;6058390
13.05.2019;33.150002;26.176155;6838899
14.05.2019;32.020000;26.413229;4905355
15.05.2019;32.639999;26.192505;4855905
16.05.2019;33.330002;27.467793;12987190
20.05.2019;34.160000;27.328821;7657572
21.05.2019;35.000000;28.865709;14073110
22.05.2019;35.500000;27.901068;9649112
23.05.2019;34.000000;26.723873;8475173
24.05.2019;32.990002;26.486801;7667309
27.05.2019;32.520000;26.388702;3260313
28.05.2019;32.290001;25.979956;7914248
29.05.2019;31.270000;25.391357;7342715
31.05.2019;30.650000;25.031664;8318779
03.06.2019;30.490000;25.546684;5712465
04.06.2019;31.170000;25.522158;5346254
05.06.2019;33.220001;25.742882;10932986
06.06.2019;31.750000;25.816456;8046383
07.06.2019;31.719999;25.824631;8318239
11.06.2019;31.980000;26.249731;8783221
12.06.2019;31.670000;25.424059;5593929
13.06.2019;31.000000;25.489460;4611597
14.06.2019;31.180000;25.276913;4646421
17.06.2019;30.990000;24.933563;3773506
18.06.2019;30.500000;25.088886;9429908
19.06.2019;30.840000;25.031664;8904397
20.06.2019;31.000000;25.203337;6625218
21.06.2019;30.780001;25.285086;9004677
24.06.2019;30.930000;24.745543;6390173
25.06.2019;30.139999;24.312269;5227010
26.06.2019;29.799999;24.385841;6386438
27.06.2019;30.020000;24.778236;6422837
28.06.2019;30.379999;24.933563;5377513
01.07.2019;31.200001;25.751057;8042636
02.07.2019;31.430000;25.146112;6460921
03.07.2019;30.700001;25.424059;7278202
04.07.2019;31.299999;25.718357;6231436
05.07.2019;31.480000;25.448584;4431710
08.07.2019;31.129999;25.661133;5077670
09.07.2019;31.150000;25.015314;7097344
10.07.2019;30.400000;24.851812;6915447
11.07.2019;30.500000;24.671967;5024111
12.07.2019;30.400000;25.146112;5565182
15.07.2019;30.900000;25.072536;5071331
16.07.2019;30.770000;25.505810;5291288
17.07.2019;31.020000;25.031664;3925126
18.07.2019;30.299999;24.492117;6092310
19.07.2019;30.010000;24.900862;3540214
22.07.2019;30.570000;25.064363;5765610
23.07.2019;30.200001;26.895552;15860073
24.07.2019;33.000000;27.165321;7798887
25.07.2019;33.250000;26.871021;5791240
26.07.2019;32.959999;26.478626;3839167
29.07.2019;32.439999;25.939081;4964248
30.07.2019;31.629999;25.097063;5190408
31.07.2019;30.850000;24.859987;6904941
01.08.2019;30.299999;24.573864;6207187
02.08.2019;29.250000;23.339451;13494195
05.08.2019;28.020000;22.824429;9520857
06.08.2019;28.020000;22.791729;6053099
07.08.2019;28.020000;22.530130;5223926
08.08.2019;28.139999;23.208651;6944160
09.08.2019;28.000000;22.873478;6335963
12.08.2019;28.000000;22.595531;5867246
13.08.2019;27.340000;22.930700;6987470
14.08.2019;28.049999;22.194958;9007268
15.08.2019;27.190001;21.892487;7002353
16.08.2019;26.969999;21.655413;8697392
19.08.2019;26.920000;21.966059;6306166
20.08.2019;26.900000;22.064161;5904162
21.08.2019;26.990000;22.268532;5251240
22.08.2019;27.299999;22.938877;7728873
23.08.2019;27.889999;22.374811;6784432
26.08.2019;26.719999;22.096861;4718739
27.08.2019;27.120001;22.611879;6988855
28.08.2019;27.709999;22.235834;5624580
29.08.2019;27.200001;22.652756;5817367
30.08.2019;28.000000;23.576523;6880453
02.09.2019;29.020000;24.042494;6617297
03.09.2019;29.400000;23.543823;6298144
04.09.2019;29.290001;24.238693;6947001
05.09.2019;30.150000;25.276913;9623045
06.09.2019;30.930000;25.424059;7440939
09.09.2019;31.250000;26.053530;8622545
10.09.2019;31.900000;27.075396;10816201
11.09.2019;33.930000;27.852016;11953341
12.09.2019;34.070000;27.484146;11296349
13.09.2019;33.610001;27.974640;8577229
16.09.2019;34.139999;27.688515;7502203
17.09.2019;33.630001;26.838326;8922443
18.09.2019;32.740002;27.099922;6069161
19.09.2019;33.119999;27.345171;5698325
20.09.2019;33.450001;27.108097;7443060
23.09.2019;33.200001;27.377872;8568580
24.09.2019;33.900002;26.732050;8198669
25.09.2019;32.660000;26.396877;6556124
26.09.2019;32.549999;26.511326;5105605
27.09.2019;33.000000;26.732050;5726100
30.09.2019;32.700001;26.159805;7210226
01.10.2019;31.990000;25.898207;5027540
02.10.2019;31.440001;25.211512;6856457
03.10.2019;30.510000;24.532991;6459908
04.10.2019;30.260000;24.868164;7184500
07.10.2019;30.500000;25.489460;4667130
08.10.2019;31.500000;25.121586;3133719
09.10.2019;30.680000;25.546684;5532303
10.10.2019;31.250000;25.914555;5950181
11.10.2019;31.629999;25.898207;4326074
14.10.2019;31.740000;25.546684;4943924
15.10.2019;31.299999;25.808281;3946998
16.10.2019;31.540001;26.061705;4664987
17.10.2019;31.379999;26.356003;8741825
18.10.2019;31.969999;26.601252;7142359
21.10.2019;32.540001;27.402395;6579594
22.10.2019;33.599998;26.732050;5237240
23.10.2019;34.000000;27.565895;12587812
24.10.2019;33.779999;27.361521;5373130
25.10.2019;33.500000;26.781097;6331636
28.10.2019;32.889999;27.255245;5032751
29.10.2019;33.360001;27.598591;5330508
31.10.2019;33.240002;26.527678;6500938
01.11.2019;32.500000;27.475969;4556087
04.11.2019;33.840000;28.653162;7884696
05.11.2019;35.189999;29.045559;5850412
06.11.2019;35.340000;29.119129;5649304
07.11.2019;35.700001;29.160006;7744164
08.11.2019;35.830002;29.045559;5430572
11.11.2019;35.369999;28.612286;4442032
12.11.2019;34.980000;28.399738;4171877
13.11.2019;34.599998;28.317986;4801408
14.11.2019;34.689999;27.819317;4997854
15.11.2019;34.310001;27.753918;3832108
18.11.2019;34.099998;27.157146;6537235
19.11.2019;33.290001;27.124449;4599883
20.11.2019;32.910000;26.715702;5042252
21.11.2019;32.299999;26.756571;5919590
22.11.2019;32.799999;26.944595;5279628
25.11.2019;33.200001;26.985472;3785847
26.11.2019;32.910000;26.617599;8095338
27.11.2019;32.799999;27.132620;4614523
28.11.2019;33.009998;26.920074;2400227
29.11.2019;32.900002;26.650301;4571779
02.12.2019;32.639999;25.832809;7046448
03.12.2019;31.299999;25.742880;5185715
04.12.2019;31.420000;26.135279;5292208
05.12.2019;31.750000;25.832809;6092383
06.12.2019;31.600000;25.571207;8221031
09.12.2019;31.400000;26.151628;5588267
10.12.2019;31.850000;26.184328;4859227
11.12.2019;31.049999;25.890032;5590519
