date,lme_price
2018-03-04,2143.1428571428573
2018-03-11,2113.785714285714
2018-03-18,2083.8571428571427
2018-03-25,2066.8214285714284
2018-04-01,2014.4071428571428
2018-04-08,2024.8428571428572
2018-04-15,2276.3214285714284
2018-04-22,2441.3214285714284
2018-04-29,2253.5
2018-05-06,2327.9464285714284
2018-05-13,2349.375
2018-05-20,2299.1428571428573
2018-05-27,2270.098214285714
2018-06-03,2288.2410714285716
2018-06-10,2309.964285714286
2018-06-17,2249.6785714285716
2018-06-24,2177.3571428571427
2018-07-01,2143.1071428571427
2018-07-08,2086.214285714286
2018-07-15,2055.214285714286
2018-07-22,2033.9642857142858
2018-07-29,2073.9285714285716
2018-08-05,2049.0
2018-08-12,2078.714285714286
2018-08-19,2048.75
2018-08-26,2081.1160714285716
2018-09-02,2129.8660714285716
2018-09-09,2068.285714285714
2018-09-16,2049.035714285714
2018-09-23,2057.8571428571427
2018-09-30,2074.3214285714284
2018-10-07,2144.785714285714
2018-10-14,2057.0
2018-10-21,2017.7857142857142
2018-10-28,1994.142857142857
2018-11-04,1965.5357142857142
2018-11-11,1958.642857142857
2018-11-18,1926.892857142857
2018-11-25,1944.5
2018-12-02,1947.75
2018-12-09,1953.642857142857
2018-12-16,1925.6785714285713
2018-12-23,1916.0357142857142
2018-12-30,1862.7142857142858
2019-01-06,1849.8214285714287
2019-01-13,1855.357142857143
2019-01-20,1854.75
2019-01-27,1890.107142857143
2019-02-03,1890.5357142857142
2019-02-10,1891.642857142857
2019-02-17,1850.5714285714287
2019-02-24,1886.1785714285713
2019-03-03,1906.0
2019-03-10,1861.4642857142858
2019-03-17,1884.1785714285713
2019-03-24,1912.0357142857142
2019-03-31,1899.5357142857142
2019-04-07,1885.0357142857142
2019-04-14,1859.607142857143
2019-04-21,1861.45
2019-04-28,1850.3
2019-05-05,1803.169642857143
2019-05-12,1799.0625
2019-05-19,1833.4285714285713
2019-05-26,1796.4642857142858
2019-06-02,1792.2857142857142
2019-06-09,1768.4285714285713
2019-06-16,1766.3214285714287
2019-06-23,1775.9642857142858
2019-06-30,1801.9642857142858
2019-07-07,1795.9642857142858
2019-07-14,1824.9285714285713
2019-07-21,1843.642857142857
2019-07-28,1812.75
2019-08-04,1781.142857142857
2019-08-11,1757.3214285714287
2019-08-18,1774.75
2019-08-25,1773.919642857143
2019-09-01,1752.669642857143
2019-09-08,1775.0357142857142
2019-09-15,1804.9642857142858
2019-09-22,1794.642857142857
2019-09-29,1746.857142857143
2019-10-06,1724.0714285714287
2019-10-13,1736.9285714285713
2019-10-20,1729.7142857142858
2019-10-27,1727.857142857143
2019-11-03,1770.4285714285713
2019-11-10,1806.142857142857
2019-11-17,1758.7142857142858
2019-11-24,1736.857142857143
2019-12-01,1762.142857142857
2019-12-08,1764.0
2019-12-15,1765.857142857143
2019-12-22,1788.5714285714287
2019-12-29,1819.142857142857
2020-01-05,1818.5357142857142
2020-01-12,1808.9285714285713
2020-01-19,1806.0
2020-01-26,1795.5
2020-02-02,1730.642857142857
2020-02-09,1711.5
2020-02-16,1726.5714285714287
2020-02-23,1714.0
2020-03-01,1699.142857142857
2020-03-08,1706.0
2020-03-15,1678.7142857142858
2020-03-22,1618.7857142857142
2020-03-29,1543.357142857143
2020-04-05,1497.4285714285713
2020-04-12,1480.2571428571428
2020-04-19,1505.6000000000001
2020-04-26,1507.642857142857
2020-05-03,1495.5714285714287
2020-05-10,1486.5357142857142
2020-05-17,1478.5714285714287
2020-05-24,1507.25
2020-05-31,1532.9642857142858
2020-06-07,1573.0
2020-06-14,1598.0714285714287
2020-06-21,1596.5
2020-06-28,1593.7142857142858
2020-07-05,1619.0
2020-07-12,1666.357142857143
2020-07-19,1674.2857142857142
2020-07-26,1694.4285714285713
2020-08-02,1722.2857142857142
2020-08-09,1770.642857142857
2020-08-16,1767.2142857142858
2020-08-23,1773.2857142857142
2020-08-30,1788.482142857143
2020-09-06,1795.0535714285713
2020-09-13,1787.642857142857
2020-09-20,1790.142857142857
2020-09-27,1760.357142857143
2020-10-04,1767.7857142857142
2020-10-11,1809.642857142857
2020-10-18,1858.857142857143
2020-10-25,1841.5
2020-11-01,1832.142857142857
2020-11-08,1896.2857142857142
2020-11-15,1923.5
2020-11-22,1982.642857142857
2020-11-29,1992.5714285714287
2020-12-06,2042.5
2020-12-13,2027.7142857142858
2020-12-20,2042.5714285714287
2020-12-27,2013.6000000000001
2021-01-03,1997.8999999999999
2021-01-10,2028.5
2021-01-17,2000.2142857142858
2021-01-24,1987.857142857143
2021-01-31,1990.357142857143
2021-02-07,1995.357142857143
2021-02-14,2071.8571428571427
2021-02-21,2121.714285714286
2021-02-28,2167.3571428571427
2021-03-07,2173.9285714285716
2021-03-14,2177.9285714285716
2021-03-21,2238.1428571428573
2021-03-28,2265.3571428571427
2021-04-04,2237.4285714285716
2021-04-11,2265.714285714286
2021-04-18,2311.0714285714284
2021-04-25,2357.0714285714284
2021-05-02,2404.3214285714284
2021-05-09,2484.6071428571427
2021-05-16,2487.0
2021-05-23,2416.4285714285716
2021-05-30,2440.0714285714284
2021-06-06,2446.6428571428573
2021-06-13,2462.285714285714
2021-06-20,2429.1428571428573
2021-06-27,2452.8571428571427
2021-07-04,2536.714285714286
2021-07-11,2502.8571428571427
2021-07-18,2495.785714285714
2021-07-25,2478.785714285714
2021-08-01,2561.785714285714
2021-08-08,2580.0714285714284
2021-08-15,2584.785714285714
2021-08-22,2571.0
2021-08-29,2636.2678571428573
2021-09-05,2718.6964285714284
2021-09-12,2844.0
2021-09-19,2876.285714285714
2021-09-26,2901.1428571428573
2021-10-03,2889.714285714286
2021-10-10,2953.714285714286
2021-10-17,3118.214285714286
2021-10-24,2981.5714285714284
2021-10-31,2755.6428571428573
2021-11-07,2620.0714285714284
2021-11-14,2636.6428571428573
2021-11-21,2644.6428571428573
2021-11-28,2662.785714285714
2021-12-05,2621.9285714285716
2021-12-12,2619.5714285714284
2021-12-19,2666.6428571428573
2021-12-26,2798.657142857143
2022-01-02,2815.932142857143
2022-01-09,2896.3035714285716
2022-01-16,2969.4285714285716
2022-01-23,3041.785714285714
2022-01-30,3071.285714285714
2022-02-06,3052.785714285714
2022-02-13,3188.4285714285716
2022-02-20,3250.1428571428573
2022-02-27,3336.1428571428573
2022-03-06,3652.8571428571427
2022-03-13,3470.285714285714
2022-03-20,3360.4285714285716
2022-03-27,3589.4285714285716
2022-04-03,3491.285714285714
2022-04-10,3390.714285714286
2022-04-17,3266.2285714285713
2022-04-24,3239.9857142857145
2022-05-01,3047.9821428571427
2022-05-08,2880.7678571428573
2022-05-15,2776.6428571428573
2022-05-22,2904.9285714285716
2022-05-29,2889.714285714286
2022-06-05,2774.0714285714284
2022-06-12,2732.714285714286
2022-06-19,2545.4285714285716
2022-06-26,2489.285714285714
2022-07-03,2465.0
2022-07-10,2423.0
2022-07-17,2365.5714285714284
2022-07-24,2434.1428571428573
2022-07-31,2448.9285714285716
2022-08-07,2414.785714285714
2022-08-14,2457.8571428571427
2022-08-21,2394.0714285714284
2022-08-28,2440.2321428571427
2022-09-04,2334.0178571428573
2022-09-11,2273.214285714286
2022-09-18,2282.714285714286
2022-09-25,2199.5714285714284
2022-10-02,2159.714285714286
2022-10-09,2303.5
2022-10-16,2285.9285714285716
2022-10-23,2198.4285714285716
2022-10-30,2236.785714285714
2022-11-06,2289.6428571428573
2022-11-13,2390.6428571428573
2022-11-20,2418.5
2022-11-27,2380.0
2022-12-04,2474.0
2022-12-11,2484.9285714285716
2022-12-18,2402.0
2022-12-25,2384.914285714286
2023-01-01,2376.692857142857
2023-01-08,2312.8928571428573
2023-01-15,2538.785714285714
2023-01-22,2617.5
2023-01-29,2632.5714285714284
2023-02-05,2593.5
2023-02-12,2475.9285714285716
2023-02-19,2404.5
2023-02-26,2396.1428571428573
2023-03-05,2394.1428571428573
2023-03-12,2339.0714285714284
2023-03-19,2293.285714285714
2023-03-26,2313.0
2023-04-02,2391.714285714286
2023-04-09,2342.6142857142854
2023-04-16,2350.3857142857146
2023-04-23,2407.9285714285716
2023-04-30,2348.339285714286
2023-05-07,2327.8571428571427
2023-05-14,2263.0178571428573
2023-05-21,2275.6428571428573
2023-05-28,2232.6964285714284
2023-06-04,2250.125
2023-06-11,2241.6428571428573
2023-06-18,2249.4285714285716
2023-06-25,2198.9285714285716
2023-07-02,2162.5
2023-07-09,2147.785714285714
2023-07-16,2233.9285714285716
2023-07-23,2209.714285714286
2023-07-30,2227.6428571428573
2023-08-06,2238.8571428571427
2023-08-13,2189.5
2023-08-20,2142.1428571428573
2023-08-27,2160.4285714285716
2023-09-03,2204.0714285714284
2023-09-10,2195.3571428571427
2023-09-17,2206.285714285714
2023-09-24,2231.1428571428573
2023-10-01,2286.785714285714
2023-10-08,2258.5714285714284
2023-10-15,2206.785714285714
2023-10-22,2180.5
